NYR1,NYR2,NYR3,NYR4,NYR5
I want to lose the rest of the 30 lbs. I have left on my exercise plan. I want to get most of this done before summer when bathing suits come into play.,I want to keep in contact with my extended family better. Maybe try to call them once a month to catch up.,"To keep up with Mturk for the entire year so I can have more money to play around with for vacations, presents, and other odds and ends.",.,.
To get out of debt,.,.,.,.
walk at least 5 times a week,.,.,.,.
get a part time local job,lighten up on the smoking,spend more time with folks,.,.
Run every day,.,.,.,.
lose weight,.,.,.,.
"build a healthier me (includes healthier eating, weight loss, weight lifting, and daily exercise sub points)",Increase my business earnings 50%,.,.,.
Get into better physical condition. I work out two times a week as it is now but I want to improve my strength and cardio. I want to move workouts to 4 days a week and start running and hiking on the weekends in place of some other hobbies.,.,.,.,.
To pay down at least 50% of our household credit card debt by the end of the year.,To drink less soda pop.,To exercise more.,.,.
Quit smoking Cigarettes,Find freedom from the MAN.,.,.,.
My goal is to work out and get in shape. I have a goal of going to the gym three days a week for an hour a trip.,.,.,.,.
Lose 5 pounds,Become more flexible,.,.,.
Loose weight,.,.,.,.
I want to learn how to juggle.,I want to get a good paying internship for the summer.,.,.,.
Quit smoking,Lose 50 lbs,Drink less alcohol,.,.
To complete several home repair projects that I've planned.,To get back in touch with my friends.,To eat a more nutritious diet.,.,.
pay down bills and save money,lose weight,.,.,.
Spend more time and make more of an effort in getting to know the girl that I like and see where it leads.,Travel across the country.,.,.,.
To quit smoking,Spend more time with family,.,.,.
I want to lose 10 pounds.,I want to save money to travel to the Island of Bali in summer of 2016.,.,.,.
To get my weight back down to 140 lbs by my birthday,.,.,.,.
To exercise daily and eat healthy and try to loose at least 5 kgs weight in the next year,To learn how to cook.,To learn a new language,.,.
"Build up $15,000 in a savings account.",Finish my degree and find a job successfully.,.,.,.
Lose weight,become financially independent.,.,.,.
lose weight,.,.,.,.
I want to lose some weight,I want to become more organized.,I want to eat healthier,.,.
exercise more,to take vitamins regularly,.,.,.
lose 15lbs,.,.,.,.
To learn how to budget and save money,.,.,.,.
"To quit smoking. This is a multi stage goal. The first part of it is to reduce it by half, then continue to reduce the amount i smoke till it's nothing.","To take more time to call my mother, and spend time with immediate family.",.,.,.
Lose 10 pounds,Finish my schooling,Finish remodeling the bathroom,.,.
I want to lose 30 pounds,I want to try to make more friends,I want to be more happy,.,.
I resolved to stop my obsessive thinking,I resolved to get a 4.0 (or as close to it as possible) these next two semesters in college (spring & fall of 2016),.,.,.
Do more projects,Progress on learning a language,Improve writing,.,.
Save more money,have a healthier lifestyle,.,.,.
My sole resolution is to cut down on my cigar smoking!,.,.,.,.
Keep my Netflix queue at less than 200 titles at any given time.,"Exercise 4 times per week, minimum.",.,.,.
lose 50 pounds by the end of july,exercise regularly and diligently,.,.,.
I resolved to go back to the gym twice a week at least to resume weight lifting sessions.,.,.,.,.
"To exercise more, get out for more walks with the dog.",.,.,.,.
To run at least 3 miles a day.,.,.,.,.
Stop getting drunk every weekday.,Get in shape and lose 20 pounds.,.,.,.
To reach 100+ words per minute typing speed.,Start learning German.,.,.,.
Lose 10-15 pounds.,Buy my first car.,.,.,.
become more financially responsible,.,.,.,.
I have resolved to eat healthy foods and avoid fast food.,I have resolved to read my bible and pray everyday.,I have resolved to exercise daily.,.,.
TO LOSE 30 POUNDS,TO EXERCISE MORE DAILY,.,.,.
exercise every day,.,.,.,.
lose weight,eat healthier,exercise more,.,.
To exercise more,.,.,.,.
I would like to get completely in shape,I would like to get a co-op this summer,I would like to get all A's this semester,.,.
Save more money in the bank by reducing weekly spending and working more.,Enjoy life more with my kids and husband and stop stressing over every little thing.,.,.,.
Stop drinking sodas.,Walk more often.,.,.,.
To cut back or quit smoking for good!,"To start a new career I have been interested in for some time, I want to make this work because it would mean more money and be better off financially.",To exercise a little more than I currently do.,.,.
.,.,.,.,.
Gain muscle weight,make more money,get a better house,.,.
Save up to fix my dental problems,go out more,Build muscle mass,.,.
"My only resolution this year is to keep my spending to an austerity level. I have set myself a hard cap of $300 for clothes, entertainment, books for the entire year. I plan on cooking 99% of my meals at home, as well.",.,.,.,.
Find a diet that works for m,Get a job and quickly,.,.,.
To lose weight.,To save money for a down payment on a house.,.,.,.
I want to jog 3 miles at least 3 times a week,I would like to become more attractive,.,.,.
Gain weight.,Work longer.,.,.,.
Pay off debt,Put money in savings,Get healthier,.,.
I wanted to cut back on what i eat and drink. I would like to lose weight that i have gained from having kids.,To find a good job and if I can go back to school and finish my degree.,Try to be a nicer and better person to my family and people.,.,.
establish a more consistent workout schedule,.,.,.,.
To eat healthier and work out more,To be nicer and more attentive to my girlfriend.,To try to work harder and Mturk,.,.
To finish writing the book I started in November,.,.,.,.
I will do everything in my power to make sure that I have a healthy pregnancy and don't gain a ton of baby weight.,I will save money and pay off some of my bills.,I will read the Bible with my husband more often and talk with him about spiritual matters.,.,.
Stop drinking soda,Spend more quality time with family,Read the whole Bible in six months to grow closer to God,.,.
Learn to play Go,Become a single digit kyu,.,.,.
Lose 90 pounds,Give up animal products by the end of the year,Double my income.,.,.
lose weight,write more,stop being depressed,.,.
Work out twice a week - work towards toning abs and butt.,Make more time to read - read more books.,.,.,.
Loose weight,.,.,.,.
losing weight,.,.,.,.
spend more time with my daughter,.,.,.,.
Make more money through Mturk,.,.,.,.
"I resolve to eat meat free one day each week, gradually working up to two meat free days each week.",I resolve to continue exercising regularly.,I resolve to cut my debt in half.,.,.
I want to get another job.,.,.,.,.
To give up smoking,.,.,.,.
I want to learn more in my field of work.,I want to become more independent.,I want to try to find a better job.,.,.
work as much as i can,.,.,.,.
I need to think more positively instead of always thinking the worst.,I need to eat more clean.,I need to work out at least five times per week.,.,.
Travel more around the country,Learn to cook more,.,.,.
To get in better shape,To earn a life changing amount in poker,.,.,.
Get a car.,Find a new girlfriend.,Lose weight.,.,.
Stop smoking,Lose weight,.,.,.
get a new job,.,.,.,.
lose weight,start new art project,.,.,.
Finish school,Get in better physical shape,Lose 10 pounds,.,.
moving to the mountains,producing my own food,paying off half my outstanding debt,.,.
Complete 24 acupuncture sessions,Stop eating fast food,move out of my moms house,.,.
"To stop telling God how to solve my problems and let Him do His job so I can do mine.  (So far, that is working!)",.,.,.,.
Selling my house,Moving to a new town - out in the country,Starting a new business,.,.
Stop smoking,"Get situated on loan options for a house, ie; take care of outstanding debt.",.,.,.
Give up drinking soda,.,.,.,.
eat healthier,read more,spend more effort on housework,.,.
lose weight,learn japanese,.,.,.
Wake up earlier,Get stronger in working out,.,.,.
My number one resolution is start walking every day and eventually start jogging and going to the gym when I am in better shape.,My second resolution is to work harder and start applying or studying for a career that pays more than I make on mturk.,.,.,.
Save descending 52-1 dollar per week each week of the year,save 26.50 each week of the year,go to the gym 3x per week every week,.,.
lose baby weight,become financially stable,.,.,.
"I intend to buy an electronic keyboard and begin playing the piano again.  I used to be somewhat passionate about playing, but I sold my piano years ago and gave it up for the most part.  I still am fluent in reading music, however, and believe I can pick it up again somewhat easily.","I want to do more embroidery work, and finish the projects that I start.  I have several ideas for gifts that I want to realize.",.,.,.
to lose weight,to cook more at home/eat out less,to be more organized,.,.
Lose weight.,Find a better job.,Meet new people.,.,.
I am going to stop using dairy products.,I am going to take the bus to work as often as possible.,.,.,.
Get into terrific shape.,"Make $100,000 in 2016.",.,.,.
Lose 50 pounds.,Pay down debt.,.,.,.
Lose 15 pounds in the new year and keep them off.,.,.,.,.
To smoke more. In 2015 i smoked a half a pack of cigarettes a day. For 2016 i hope to raise that to a pack a day.,.,.,.,.
Lose weight,Start Keto again,.,.,.
"Begin seriously working hard toward gender transition (I am MTF). See a therapist by the end of January. Start hormone replacement by my birthday. In general, start getting my life together so I can enjoy it instead of being miserable and depressed in my apartment by myself all the time.",.,.,.,.
lose 10#,exercise regularly,.,.,.
finish my education,find a career utilizing my education,.,.,.
Make at least an extra $50 per week.,Exercise at least 20 minutes each day.,Meditate at least 10 minutes a day.,.,.
Lose weight,.,.,.,.
To spend more time just hanging out with my children by working fewer hours.,.,.,.,.
to lose 20 pounds before june,.,.,.,.
to smoke somewhat less,.,.,.,.
Lose 50 pounds,Start to learn Spanish,Watch every Meryl Streep movie ever made,.,.
have a baby,.,.,.,.
Complete flight training,Lose ten pounds of fat,Gain five pounds of lean body mass,.,.
save money to move to a new house,take a vacation with family this summer,.,.,.
"My main resolution for the year is to get back to exercising.  With a 13 year-old and a 17 month-old, time is at a premium.  We have another kid on the way this Spring, so there will be even less time to get exercise done.  My goal is to drop about 10 lbs in the coming year.",.,.,.,.
Do yoga every day.,.,.,.,.
Save at least $500 dollars a month to my retirement accounts by cutting back on expenses like eating out.,Continue training for the NYC Marathon near the end of the year.,"Volunteer 20 hours a month for the entire year, with the non profit I like in my community.",.,.
Lose weight,.,.,.,.
Getting to an ideal weight. I would like to lose 50 lbs this year by diet and exercise.,I have taken suboxone for 2 years to help treat narcotic addiction. This year I would like to come clean from the suboxone 100% which has helped me overcome my narcotic addiction.,Stop letting people take my kindness for granted. I will cut out toxic people in my life.,.,.
Try to save more money.,Stick to a strict budget.,Move back to my home state.,.,.
Quit Smoking,Save Money,.,.,.
My only goal is to get more exercise.,.,.,.,.
Tone my body,Control my asthma,Have a baby,.,.
I have resolved to payoff at least one credit card.,.,.,.,.
I resolve to write and submit five short stories for publication.,.,.,.,.
Get in shape and feel better about myself.,Pay off most of my debts.,.,.,.
Spend more time with my family,Eat healthier meals and snacks,.,.,.
I have decided to try and eat healthier.  I am eating more of a plant based diet.,"If I do decide to eat something for dinner that is not healthy, I have to walk a mile to compensate.",.,.,.
To lose 10 pounds.,To finish editing my novel.,.,.,.
To exercise more and get into better shape.,.,.,.,.
spend as much time as i can with my new granddaughter,.,.,.,.
get healthy,.,.,.,.
To quit smoking cigarettes,to lose 30 pounds,to start exercising,.,.
Exercise at least 4 days a week.,Lose 10 lbs within 6 months.,Get closer to friends and family.,.,.
New job in office after graduation,New car if I can get a new office job,Keep going on the transfer to 4 years college,.,.
Stop eating meat,.,.,.,.
Losing weight.,.,.,.,.
To stop drinking as much.,To exercise more.,To find a better job.,.,.
Quit smoking cigarettes,Lose weight,.,.,.
To lose 20 pounds.,.,.,.,.
exercise more,eat healthier,.,.,.
To make more money on Mechanical Turk than I did last year.,To have a productive vegetable garden this year.,To remain physically and financially independent of my grown kids.,.,.
lose weight,.,.,.,.
Start a budget,Make time for leisure/relaxing activities,Create a chore list for my children,.,.
I resolved to practice yoga every other day.,I resolved to save more money when I can.,.,.,.
I wish to get in better shape by losing 100 pounds.,I wish to spend more time practicing my guitar so that I can become a better player.,.,.,.
finally buy the sailboat i have been saving for,find ways this year to make a full time living from home and quit my job,move aboard my sailboat by the end of the year /,.,.
Lose weight,be more organized,.,.,.
to lose 100 pounds,.,.,.,.
losing 10 lbs,drinking more water,.,.,.
I will lose weight,I will stop smoking,.,.,.
to eat better,to get to a weight I want to be at,to be a better person,.,.
"To work more and therefor make more money, I work from home so I get distracted easily.  This year I would like to try and ignore those distractions.","I'd like to lose extra weight I've put on over the years, at least 30 pounds, if not more.",Quit smoking cigarettes.,.,.
To get down to my target weight. I have recently lost 30 lbs and I still have about 30 to go. I had some setbacks this past year but this year I'm gonna get it all done.,I have to quit smoking by the end of the year. I have already cut back by about half and I'm trying to be done by June but my official resolution is that I will be completely done by Christmas.,.,.,.
Get better grades,Hit the gym HARD,.,.,.
Pay off student loan debt,Improve general health,Study foreign language,.,.
Make more money this year than last year. Make most of my day financially beneficial. Expend my business. Start retirement savings.,"Watch my diet to lose weight. I do not have the time to work out but I am capable of losing weight based on diets alone. eat less bread, less candy, etc.",Try to go to church more....,.,.
lose weight,.,.,.,.
I resolve to pay off my debt by spending less and earning side money through sites like textbroker and mturk,I resolve to lose weight by following the tls slim program,I resolve to move out of my grandparents house in 6 months,.,.
I want to quit my job.,.,.,.,.
Lose ten pounds and get back into shape,Take better care of my asthma,Begin a serious relationship,.,.
To get stronger.,To sell things on Ebay.,To pray more.,.,.
Lose weight.,Drink less alcohol.,.,.,.
Stop smoking Tobacco,100 squats a day,.,.,.
lose 30 lbs,.,.,.,.
To lose some weight.,Exercise more.,Learn Spanish,.,.
quit smoking,move out of state,.,.,.
eat healthier,save more money,.,.,.
I resolve to eat healthier and exercise more regularly.,I resolve to drink less beer.,"I resolve to play/record more music, specifically on the guitar.",.,.
"I resolve to work out more often, but with lighter weights.",.,.,.,.
Lose weight and get in shape.,Eat healthier.,.,.,.
I want to get back into work on my art projects every day.,I want to start swimming regularly.,I want to commit myself to one or several money oriented long term goals.,.,.
Eat more vegetables/ fruits,Help myself with medical issues by doing the things I am supposed to do to get better,.,.,.
Bench press 225 pounds,.,.,.,.
Become physically fit.,Gain more education.,.,.,.
Stop Dipping,Get in better shape,Find a new job,.,.
Losing weight,Finishing all the video games I've bought or will buy this year,.,.,.
To lose weight.,.,.,.,.
To catch a shark with rod and reel along the coast where I live.,Build a video game prototype.,Do yoga 30 minutes daily.,.,.
Stop smoking,Stop smoking inside the house,Eat healthier foods,.,.
put myself first,"be able to tell people ""no"" more",exercise more,.,.
I plan on losing weight,I plan on starting a career,.,.,.
get fit for the summer,make more money,.,.,.
To cook homemade authentic healthy food.,To get a form of exercise in daily.,To take care of problems as soon as they show up.,.,.
Visit family more often,Take better care of my over all health,Pay of my credit cards,.,.
Try one new recipe a week,.,.,.,.
Lose 35 lbs.,Open Etsy shop back up,Simplify my belongings and organize the house,.,.
Lose 100 pounds,Finish writing a novel,Pay down debts and start saving money,.,.
continue to lose weight and tone up,work on body dysmorphia issues,get a therapist,.,.
I want to improve my overall health.,To take my medicine on a daily basis and try not to miss doses.,.,.,.
Quit smoking,.,.,.,.
I plan to get start a healthy diet.,.,.,.,.
eat healthier.  (mainly eat less sugar and refined carbs),drink less alcohol,.,.,.
I want to earn more money in 2016 than I did in 2015.,I am determined to finally get myself into proper physical shape.,I want to be a better provider for my family.,.,.
Lose weight,.,.,.,.
Lose weight,Save money,.,.,.
To be a good father to my one year old son,To be a good husband to my wife,.,.,.
To have more financial freedom by pay off at least half of my credit card.,To save the number of cents for that number of days in the year until I have saved for everyday of the year..,To pay back the loan to my sister-in-law,.,.
To lose weight and keep it off. I always lose weight and then gain it back. I want to get to 180 and stay below that weight. I currently am about 193 but was over 200 about 6 months ago.,"Exercise 3 times a week, this includes running, weightlifting or other sports. I generally lift weights since it is convenient so I will mainly try to do this for 30 minutes 3 days a week.",.,.,.
Stop biting my nails,"Be a nicer, kinder person to strangers",.,.,.
i want to lose weight,.,.,.,.
To eat healthier,To spend more time with family,To increase my income,.,.
"I wanted to walk at least 10000 steps a day, Ive heard its a good way to stay healthy and it seems fairly easy.","I want to drink less sugary coffee drinks, like 2-3 per week maybe instead of 1-2 everyday.",I want to go back to school.,.,.
Lose between 10 and 15 lbs.,Get a promotion at work.,Save more money and spend less.,.,.
I would plan a vocation trip to Europe.,I would celebrate the Chinese New Year with my family this year.,.,.,.
Eat a Healthier Diet - remove gluten and sugar from my diet,Exercise at least 3 times a Week,.,.,.
Lose 15 lbs by my birthday in June,Take at least 3 aerial yoga classes so I'm stronger when I do it with my kids next Christmas,Completely stop smoking,.,.
I want to get more in shape.,I want to go to college and get started on my degree.,.,.,.
To lose weight.,To live a more active lifestyle.,.,.,.
Lose Weight,Get fit.,.,.,.
To save money,To lose weight,.,.,.
I have resolved to quit smoking completely by the end of February.,I am going to finish my college degree.,.,.,.
Lose 50 pounds.,.,.,.,.
To find another part time job and keep working until the end of August.,"I will exercise, mainly push ups and running, at least once a week",I will have less arguments with my girlfriend.,.,.
I want to lose weight,.,.,.,.
Exercise 3-4 times per week.,Set up a budget and put aside 10 percent of paycheck to savings.,.,.,.
Read Vanity Fair (finally),Get another story published,.,.,.
Find a better job!,Travel more.,Make life more exciting.,.,.
Complete another Whole30,Exercise more,.,.,.
save 10% of my income,exercise 3 times a week,learn to code,.,.
I want to start exercising again. I would like to be able to run a 10K by the summer.,.,.,.,.
Not skipping workouts when my wife can't attend,.,.,.,.
lose weight,save money,pay off credit cards,.,.
Get into shape by exercising more.,Reduce needless spending.,.,.,.
I am going to lose weight.,I am going to start exercising  such as walking.,I am going to make more money.,.,.
Be able to squat and deadlift my bodyweight within 6 months.,"Be able to consistently run a 5k, and to improve gradually on my time for such.",Learn Spanish.,.,.
Quit chewing tobacco,Do yoga 3 times a week,Travel to 10 state parks this year,.,.
Pay off debt,put a new   roof on the house,.,.,.
Lose 15 pounds by my birthday in March,Go back to school in 2016,Start praying more consistently every day/be more spiritually connected,Be more involved with my kids this year,.
To gain ten pounds,To exercise to stay in shape,Save for retirement,Be more outgoing,.
To start and finish my peer review for my teacher license.,To meditate each day,get my drivers license back.,Be more socialble,.
lose a lot of weight,walk a full 2 miles,get my bank account to $5000,buy a new car,.
Finish and monetize both sites,Stop doing mturk,"Make $10,000/month",Create a complete fitness program,.
Make a decision about whether to sell my house which is too big for me.,"Declutter house, keeping only things I need",loos 5 pounds and keep them off --putting me under 150,drink less alcohol,.
Quit smoking,Get in shape,Stop eating so much sugar,Earn enough to have at least $5000 set aside that I don't need to touch.,.
To find a full time job to improve my financial situation,Go to the gym and get in better shape,after finding a full time job buy a car,eat healhier,.
Get more fit,Drink more water and less soda,Exercise daily,eat more vegetables and healthier food,.
Lose weight and be healthier,go back to school on a regular basis,learn better spending habits and save more money,fix my credit and legal issues,.
lose weight,get better job,get better at guitar,floss more,.
To buy a new house his year!  We have a great opportunity to do so should it become available before next year.,To lost fifteen pounds!  I got sick with nearly fatal pneumonia last year and was unable to be very active.,Go low carb again as I did over 4 years ago and successfully lost 45 pounds!,Get and stay active and work my strength back up now that I am almost back to good health.,.
reach out to more friends and family,lose weight,save money,get engaged,.
"I plan to ride with my cycling group more, and complete our winter hill riding series.",I plan to train for a 200 mile bike ride taking place in august.,Drink less alcohol and eat healthier food.,Get more sleep.,.
Completely pay off debt,Lose 70 pounds,Compete in an obstacle race,Get my pharmacy technician certification,.
Maintain weight,Improve health,Eat better,Grow position at work,.
make more money than I did last year.,put money in my savings account,go on more family outings,have more date time with my hubby.,.
"Like many people, I have a strong new year's resolution to get out and exercise more frequently.","I want to build muscle, mostly on my upper body and arms/back.",I want to improve my dental hygiene and avoid getting any dental issues.,I want to discover what it is I want to do with my life.,.
I want to lose 25 pounds this year.,I want to sell our current house and purchase a new one.,"I want to save an additional $3,000 in our emergency fund.",I want to increase my part time income.,.
I want to work out consistently,I want to practice patience with my children,I want to convince my husband to have a fourth child,I want to take a family vacation that is memorable.,.
I will do more walking on a daily basis.,I will eat healthy foods.,I need to exercise more.,"I will tackle some large household chores, like cleaning out my storage shed.",.
I'm going to be more on top of things regarding our house's maintenance.,"I'm going to keep time for me each week to work on a freely creative venture, like drawing or sewing.",I'm going to actively organize little outings and activities during the weekend.,I'm going to cook more.,.
quit smoking,make more money,Change things in my everyday life,improve on work projects,.
Take better care of myself.,Become my idea self.,Read more books.,Learn something new every day.,.
Become more active,Get more involved in community and with friends,Find Happiness,Less Stress,.
"Study 1 hr/day min, 5 days a week.",Exercise min 3 days/ week,"Earn $20/day min, mturk",Maintain house more efficiently,.
Make my family happy and healthy.,Get GED.,Quit Smoking.,Make money.,.
build muscle,do yoga more frequently,more commitment to volunteering/nutrition club,more focus on relationships,.
more exercise,"be myself, no more perfectionist",healthy eating,more sleep,.
Quit nicotine altogether,Strengthen my relationship with my boyfriend,"Complete the 52-week savings challenge, but in reverse",Obtain a raise and/or promotion at work,.
be less shy,gain weight,gain musle,preform better in bed,.
Loose 50 lbs eight by end of 2016,Earn more money than I am earning right now,Spend more time with family,Reach out to friends and distant family whom I have not met for a long time,.
Do morefor mygirlfriend,Do morefor mymother,code,recycle,.
Be better with money,Become a better cook,learn spanish,relax my expectations,.
To get into good physical shape. Exercise more and build muscle.,Start working at part time or full time employment. Now I am self employed.,Do some renovations inside my home.,Save as much cash as I can.,.
Get in shape and lose weight,Pay off at least 1 student loan account,Make new friends,"Save at least $6,000 this year",.
"To eat healthier, a lot more protein so that I can work out and gain muscle",To make A's in all of my classes this year,To start looking for a pharmacy tech job so that I can get my foot in the door,Save up money to buy a new car,.
Lower blood glucose level.,Exercise more often.,Change up homeschooling routine with kids.,Stay in touch with friends and family more and not just through Facebook.,.
To become more agile and fit.,To write 3 books by the end of the year.,To launch my New buisness.,To become a vegan again.,.
To earn more income this year than last.,To be more considerate to my wife.,To spend more time on actual work than planning to do the actual work.,To call my mom at least once per week.,.
To try and deal with stressful situations better and not let them bother me as much.,To start meditating.,To stop taking a certain medication I'm on.,try and exercise some.,.
Lose 40 pounds.,Read 25 books.,Find a better job.,Write a novel.,.
Work out regularly,Adopt a healthier diet,Make more money,Practice guitar regularly,"Be a kinder, more patient person"
Run every other day,Do the family plank challenge,lose 20 lbs,Be more patient,Be less opinionated around others
Lose weight,Exercise,Go vegan,Start writing Roger book,Become more involved in church
Wake up early,Become vegan,Go running more,Be less stressed,Become successful
COmptia certifications. / 3 in total.   / I already have passed 1 of the 3.   Next one should be complete this month.,"Stay fit and healthy, eating healthy is first priority and then exercising my body and mind.",purchasing another house to have more money saved up when i retire.,being more in contact with family and friends and having more time for leisure.,"being happier, don't let things get to me."
Lose twenty pounds.,Make more money in the stock market.,Run six miles a day.,Eat better foods for me.,Buy a home.
To take the necessary steps in reversing my diabetes.,Be more organized.,Spend more time with my grand kids.,Make more time to relax.,Buy new furniture and decorate my home.
Pay off loan debts.,Get a new computer.,Maintain fitness level.,Save for a car.,Complete new writing project.
Drink more water,Finish sewing costumes I have started,Cut back on unnecessary spending,challenge myself at work,do a lot of home renovation
Be in love.,Figure out my life.,Don't deny myself happiness.,Stop running in circles unless it's helping me lose weight.,Do something to better myself for once and not hinder.
Buy a new car,Save money,Increase my income,Lose weight,Drink less alcohol
Focus on me,Quit Smoking,Accrue additional income,Enjoy the outdoor elements more so than 2015,Eat healthier
Get out more and make new friends,Spend more time with family,Save more money,Eat healthy,Exercise more
Stop Smoking,Store 6 months of food and water,buy motorcyle,buy land,fix car
Spend more time with my family.,Compete in a marathon and finish in the top twenty percent.,Eat less junk food.,Watch less TV.,Gain a promotion at work through effort and hard work.
Work hard to form good habits through repetition.,Exercise daily at least 45 minutes.,Lose 5 pounds per month limit calories to 1500 a day.,Use 10-day challenges to form good habits.,"Get 2,000 Twitter followers"
stop yelling at my kids,study the Bible daily,make friends,exercise,have a good  marriage.
PRAY MORE,HANG AROUND MORE POSITIVE PEOPLE.,MAKE MORE MONEY,START DATING,HELP MORE PEOPLE
I am going to not eat wheat,I am going to do my stretches and floor exercises,I am going to meet someone I would not normally meet,I am going to go otu of my comfort zone to do work,I am going to cut my energy use
I will complete my training to become a Cosmetologist by the end of the year.,I want to tone my arms and thighs so I have bought weights and a trimmer to help me achieve that goal by the middle of this year.,I plan to volunteer more at my child's school this year than I did last year.,I plan to become more involved in church functions and activities this year.,I plan to become more involved in my community's efforts to halt rising rents in our city because it is becoming unaffordable to live here.
I resolve to be kinder,I resolve to take better care of my teeth,I resolve to make more money,I resolve to take better care of my yard,I resolve to keep my car cleaner
I want to loose weight and become fit.,I want to earn extra money,I want to save extra money,I want to get married,I want to go on a nice vacation
"I will cook foods from many different countries this year, including but not limited to: India, Germany, Japan, Ireland, France.",I will lose 40 pounds.,I will get a higher paying job by 2016's end,I will be a better husband,I will work hard everyday
