Study_ID,physical,mental,money,education,career,social,spiritual,family,societal,other,t1commit,t1confident,t1effort,t1selfcontrol,t2status,t2commit,t2confident,t2effort,t2selfcontrol,t3status,t3commit,t3confident,t3effort,t3selfcontrol,t4status,t2lastworked,t2progress,t2conflict,t2forget,t2money,t2motivation,t2othersfail,t2othersknow,t2othersrely,t2time,t2unpleasant,t3lastworked,t3progress,t3conflict,t3forget,t3money,t3motivation,t3othersfail,t3othersknow,t3othersrely,t3time,t3unpleasant,t4progress,objcode,t4achieve,t4success,t4thoughtquit,t4recesses,t4feltfail,measure,apps,resolution,NumRes,inhib,init,cont,selfcontrol,gritty,disengagement,consc,impulse,selfesteem,t2break,t2active,t2notstarted,t2letgo,t3break,t3active,t3notstarted,t3letgo,t3completed,t4break,t4active,t4notstarted,t4letgo,t4completed
21,,,,,,,,,,,5,5,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,1,1,3.7142857143,2.2857142857,3.5,3.15,2.5833333333,3.0833333333,3.2222222222,5,27,,,,,,,,,,,,,,
22,0,1,0,0,0,0,0,1,0,0,5,3,4,3,Active resolution,4,3,4,4,,,,,,,7,43,3,3,3,4,4,3,3,4,3,,,,,,,,,,,,,3,,,,,,,1,1,3,2.8571428571,3.5714285714,3,3.15,3,2.6666666667,3.4444444444,9,15,0,1,0,0,,,,,,,,,,
22,1,1,1,1,1,1,1,1,1,0,4,3,4,3,Have not started working but plan to,3,3,3,3,,,,,,,7,19,3,2,4,3,4,2,3,2,4,,,,,,,,,,,,,1,,,,,,,3,2,3,2.8571428571,3.5714285714,3,3.15,3,2.6666666667,3.4444444444,9,15,0,0,1,0,,,,,,,,,,
22,1,1,0,1,1,1,1,1,0,0,3,3,3,3,Have not started working but plan to,2,2,3,2,,,,,,,7,21,4,3,4,3,4,3,4,3,2,,,,,,,,,,,,,1,,,,,,,3,3,3,2.8571428571,3.5714285714,3,3.15,3,2.6666666667,3.4444444444,9,15,0,0,1,0,,,,,,,,,,
23,1,0,0,0,0,0,0,0,0,0,5,5,5,5,Active resolution,4,4,4,5,Active resolution,5,5,5,5,Active resolution,1,52,1,1,1,3,4,5,1,2,1,1,75,1,1,1,1,4,4,1,2,1,42,2,2,2,2,4,4,3,1,1,3,4.2857142857,5,5,4.75,5,4.6666666667,5,11,40,0,1,0,0,0,1,0,0,0,0,1,0,0,0
23,1,0,0,0,0,0,0,0,0,0,5,5,5,5,Active resolution,4,4,4,5,Active resolution,5,5,5,5,Active resolution,1,38,1,1,2,3,4,4,1,2,1,1,59,1,1,1,1,4,4,1,,1,61,2,3,2,1,1,1,1,1,2,3,4.2857142857,5,5,4.75,5,4.6666666667,5,11,40,0,1,0,0,0,1,0,0,0,0,1,0,0,0
23,1,0,0,0,0,0,0,0,0,0,5,5,5,5,Active resolution,5,5,5,5,Active resolution,4,4,4,5,Achieved and maintaining,1,72,1,1,2,3,3,2,1,4,1,1,,1,1,1,1,5,5,1,1,1,90,2,4,4,1,1,1,4,1,3,3,4.2857142857,5,5,4.75,5,4.6666666667,5,11,40,0,1,0,0,0,1,0,0,0,0,0,0,0,1
24,1,1,0,0,1,1,0,0,0,0,4,4,5,4,Active resolution,4,5,4,3,Achieved and maintaining,4,3,4,3,Have not started working but plan to,1,73,4,4,3,2,3,4,4,4,3,3,29,4,4,3,2,5,4,4,4,3,45,3,4,3,3,3,4,4,1,1,5,2.8571428571,2.5714285714,3.3333333333,2.9,3.1666666667,2.5,3.2222222222,7,26,0,1,0,0,0,0,0,0,1,0,0,1,0,0
24,1,0,0,0,0,0,0,0,0,0,5,4,5,4,Active resolution,4,5,4,3,Not currently working but plan to,4,3,4,3,"Thrown in the towel, not currently working dont plan to",1,85,4,4,3,3,3,4,4,4,2,4,38,4,4,4,2,5,4,4,4,3,40,2,4,3,3,3,2,4,1,2,5,2.8571428571,2.5714285714,3.3333333333,2.9,3.1666666667,2.5,3.2222222222,7,26,0,1,0,0,1,0,0,0,0,0,0,0,1,0
24,1,1,0,0,0,0,0,0,0,0,4,4,3,4,Active resolution,3,4,4,5,Have not started working but plan to,4,3,4,4,"Thrown in the towel, not currently working dont plan to",1,68,4,4,4,4,3,4,4,3,4,4,34,4,5,3,4,3,3,4,3,4,32,3,4,3,4,3,3,4,2,3,5,2.8571428571,2.5714285714,3.3333333333,2.9,3.1666666667,2.5,3.2222222222,7,26,0,1,0,0,0,0,1,0,0,0,0,0,1,0
24,0,1,0,0,0,1,0,0,0,0,5,4,5,4,Active resolution,4,5,5,3,Achieved and maintaining,4,3,4,4,Have not started working but plan to,1,89,3,2,4,3,3,3,3,4,3,3,85,4,3,4,3,4,3,4,5,4,44,1,4,3,2,3,3,4,2,4,5,2.8571428571,2.5714285714,3.3333333333,2.9,3.1666666667,2.5,3.2222222222,7,26,0,1,0,0,0,0,0,0,1,0,0,1,0,0
24,0,1,0,0,1,1,0,1,0,0,5,4,4,4,Active resolution,4,4,3,3,Have not started working dont plan to,4,3,4,3,Not currently working but plan to,1,71,3,4,4,3,5,4,3,3,4,4,50,4,4,3,2,5,4,4,4,3,57,2,4,2,4,3,2,4,2,5,5,2.8571428571,2.5714285714,3.3333333333,2.9,3.1666666667,2.5,3.2222222222,7,26,0,1,0,0,0,0,0,1,0,1,0,0,0,0
25,,,,,,,,,,,4,5,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,1,2,3.7142857143,4.2857142857,4,4,3.8333333333,3.0833333333,4.4444444444,12,37,,,,,,,,,,,,,,
25,,,,,,,,,,,5,5,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,2,2,3.7142857143,4.2857142857,4,4,3.8333333333,3.0833333333,4.4444444444,12,37,,,,,,,,,,,,,,
26,0,1,0,0,0,0,0,1,0,0,5,5,5,5,Active resolution,5,5,5,4,,,,,,,2,64,1,1,4,1,5,5,1,5,1,,,,,,,,,,,,,3,,,,,,,1,1,1,4.8571428571,5,5,4.95,4.3333333333,2.0833333333,4.8888888889,11,10,0,1,0,0,,,,,,,,,,
27,,,,,,,,,,,4,2,3,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,1,2,1.5714285714,1.5714285714,2.1666666667,1.75,1.9166666667,4.3333333333,3.2222222222,8,28,,,,,,,,,,,,,,
27,,,,,,,,,,,5,4,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,2,2,1.5714285714,1.5714285714,2.1666666667,1.75,1.9166666667,4.3333333333,3.2222222222,8,28,,,,,,,,,,,,,,
28,1,1,1,1,1,1,0,0,0,0,5,5,5,5,Active resolution,5,5,5,2,,,,,,Active resolution,1,79,4,1,2,4,1,1,4,3,2,,,,,,,,,,,,83,3,4,5,5,1,2,3,2,1,3,2.5714285714,3.8571428571,4.1666666667,3.5,4.0833333333,1.4166666667,4.2222222222,11,40,0,1,0,0,,,,,,0,1,0,0,0
28,1,1,0,0,0,0,0,0,0,0,5,5,5,5,Active resolution,2,5,3,5,,,,,,Have not started working but plan to,1,17,4,5,4,5,1,1,4,2,5,,,,,,,,,,,,18,3,1,1,5,5,5,1,2,2,3,2.5714285714,3.8571428571,4.1666666667,3.5,4.0833333333,1.4166666667,4.2222222222,11,40,0,1,0,0,,,,,,0,0,1,0,0
28,0,0,1,0,0,1,0,0,0,0,5,5,5,5,Not currently working but plan to,1,1,1,5,,,,,,Achieved and done,8,10,5,5,5,5,5,5,5,5,5,,,,,,,,,,,,99,3,5,,4,2,4,3,2,3,3,2.5714285714,3.8571428571,4.1666666667,3.5,4.0833333333,1.4166666667,4.2222222222,11,40,1,0,0,0,,,,,,0,0,0,0,1
29,1,0,0,0,0,0,0,0,0,0,5,5,4,4,Active resolution,5,5,4,4,Active resolution,5,4,4,4,Active resolution,1,40,1,1,3,3,4,4,1,3,1,3,54,1,1,1,3,1,3,1,2,2,52,3,3,3,1,3,4,5,2,1,2,4,4.8571428571,4.3333333333,4.4,4,3,4.5555555556,9,34,0,1,0,0,0,1,0,0,0,0,1,0,0,0
29,1,1,0,0,0,0,0,0,0,0,5,5,5,4,Active resolution,5,5,5,5,Achieved and maintaining,5,5,5,5,Achieved and maintaining,1,78,1,1,1,2,4,4,1,5,2,1,100,1,1,2,2,1,3,1,4,2,89,2,4,2,1,2,3,4,2,2,2,4,4.8571428571,4.3333333333,4.4,4,3,4.5555555556,9,34,0,1,0,0,0,0,0,0,1,0,0,0,0,1
30,,,,,,,,,,,4,4,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,1,2,4.1428571429,4,4.5,4.2,4.25,3.5,5,10,10,,,,,,,,,,,,,,
30,,,,,,,,,,,5,4,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,2,2,4.1428571429,4,4.5,4.2,4.25,3.5,5,10,10,,,,,,,,,,,,,,
31,1,1,0,0,0,0,0,0,0,0,5,5,5,5,Active resolution,5,4,4,4,Active resolution,5,5,5,4,,2,22,2,2,2,4,3,3,2,4,3,1,42,1,2,1,2,3,3,1,2,1,,2,,,,,,,1,1,2,3.7142857143,4,4,3.9,4,2.3333333333,4,12,30,0,1,0,0,0,1,0,0,0,,,,,
31,1,1,0,0,0,0,0,0,0,0,5,4,4,5,Active resolution,5,5,5,4,Active resolution,5,5,5,4,,1,54,2,2,2,4,3,3,2,3,3,1,76,1,2,3,2,3,3,1,1,1,,2,,,,,,,1,2,2,3.7142857143,4,4,3.9,4,2.3333333333,4,12,30,0,1,0,0,0,1,0,0,0,,,,,
32,,,,,,,,,,,4,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,1,3,3,3,3.1666666667,3.05,2.9166666667,3,3.2222222222,10,29,,,,,,,,,,,,,,
32,,,,,,,,,,,5,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,2,3,3,3,3.1666666667,3.05,2.9166666667,3,3.2222222222,10,29,,,,,,,,,,,,,,
32,,,,,,,,,,,5,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,3,3,3,3,3.1666666667,3.05,2.9166666667,3,3.2222222222,10,29,,,,,,,,,,,,,,
33,1,1,1,1,0,1,0,0,0,0,4,5,3,5,Active resolution,3,4,3,4,,,,,,,2,52,1,3,1,4,4,4,1,1,3,,,,,,,,,,,,,2,,,,,,,1,1,2,3.2857142857,2.7142857143,3.3333333333,3.1,2.9166666667,2.8333333333,2.6666666667,8,25,0,1,0,0,,,,,,,,,,
33,1,1,0,0,0,1,0,0,0,0,5,5,5,4,Active resolution,5,5,5,3,,,,,,,1,53,4,2,2,3,4,4,4,3,2,,,,,,,,,,,,,2,,,,,,,2,2,2,3.2857142857,2.7142857143,3.3333333333,3.1,2.9166666667,2.8333333333,2.6666666667,8,25,0,1,0,0,,,,,,,,,,
34,1,0,1,0,0,0,0,0,0,0,3,3,3,3,Not currently working but plan to,1,2,1,2,Not currently working but plan to,2,2,2,2,,7,8,2,2,2,2,2,2,2,2,2,8,15,2,2,2,2,2,2,2,2,2,,2,,,,,,,2,1,2,3,3,3,3,3,3,3,5,22,1,0,0,0,1,0,0,0,0,,,,,
34,1,0,1,0,0,0,0,0,0,0,3,3,3,3,Not currently working but plan to,2,2,2,2,Not currently working but plan to,2,2,2,2,,7,7,2,2,2,2,2,2,2,2,2,,21,2,2,2,2,2,2,2,2,2,,3,,,,,,,2,2,2,3,3,3,3,3,3,3,5,22,1,0,0,0,1,0,0,0,0,,,,,
35,,,,,,,,,,,5,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,1,3,3.5714285714,4.2857142857,4.6666666667,4.15,4.0833333333,3,4.7777777778,12,15,,,,,,,,,,,,,,
35,,,,,,,,,,,3,1,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,2,3,3.5714285714,4.2857142857,4.6666666667,4.15,4.0833333333,3,4.7777777778,12,15,,,,,,,,,,,,,,
35,,,,,,,,,,,5,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,3,3,3.5714285714,4.2857142857,4.6666666667,4.15,4.0833333333,3,4.7777777778,12,15,,,,,,,,,,,,,,
36,0,1,1,1,1,0,0,1,0,0,5,5,3,4,Not currently working but plan to,2,2,2,5,,,,,,,7,58,2,2,5,2,4,4,2,3,2,,,,,,,,,,,,,3,,,,,,,3,1,2,4,3.2857142857,3.1666666667,3.5,2.5833333333,2,4.4444444444,8,35,1,0,0,0,,,,,,,,,,
36,0,1,1,0,1,0,0,1,0,0,5,4,3,4,Have not started working but plan to,1,1,1,3,,,,,,,7,3,2,1,2,2,3,3,2,3,2,,,,,,,,,,,,,2,,,,,,,3,2,2,4,3.2857142857,3.1666666667,3.5,2.5833333333,2,4.4444444444,8,35,0,0,1,0,,,,,,,,,,
37,1,1,0,0,0,1,1,0,0,0,5,5,5,5,Active resolution,5,5,5,5,Achieved and maintaining,3,5,3,4,Active resolution,1,100,1,1,1,3,2,2,1,3,3,2,100,1,2,1,5,3,2,1,3,3,72,3,4,2,2,4,4,5,2,1,2,3.5714285714,4.1428571429,3.6666666667,3.8,3.4166666667,2.5833333333,4.1111111111,11,30,0,1,0,0,0,0,0,0,1,0,1,0,0,0
37,1,1,0,0,0,1,1,0,0,0,5,5,5,5,Active resolution,5,5,5,5,Active resolution,4,5,5,4,Achieved and done,1,100,1,1,1,4,2,2,1,3,3,1,79,1,1,1,4,2,2,1,3,2,100,2,5,5,1,2,1,5,2,2,2,3.5714285714,4.1428571429,3.6666666667,3.8,3.4166666667,2.5833333333,4.1111111111,11,30,0,1,0,0,0,1,0,0,0,0,0,0,0,1
38,,,,,,,,,,,3,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,1,1,3,3,3,3,3,3,3,8,25,,,,,,,,,,,,,,
39,0,1,0,0,0,1,1,0,0,0,5,4,5,4,Active resolution,4,5,4,5,Active resolution,3,3,2,5,Achieved and maintaining,3,52,1,3,1,1,3,3,1,1,1,4,18,1,3,1,1,3,1,1,1,1,52,1,3,3,1,1,1,5,2,1,4,3.1428571429,5,4.6666666667,4.25,4.5833333333,3.3333333333,4.5555555556,11,38,0,1,0,0,0,1,0,0,0,0,0,0,0,1
39,0,1,0,0,0,1,1,0,0,0,3,2,1,3,Have not started working but plan to,2,2,1,4,Have not started working dont plan to,1,1,1,5,Have not started working but plan to,8,0,1,5,1,4,2,1,1,3,2,8,0,1,4,1,3,1,1,1,3,3,1,3,1,1,2,5,1,4,2,2,4,3.1428571429,5,4.6666666667,4.25,4.5833333333,3.3333333333,4.5555555556,11,38,0,0,1,0,0,0,0,1,0,0,0,1,0,0
39,1,1,0,0,0,0,0,0,0,0,5,3,4,5,Active resolution,3,2,3,5,Active resolution,5,1,2,5,Active resolution,2,13,1,1,1,4,3,4,1,1,4,5,2,1,1,1,3,2,3,1,1,5,14,3,2,2,2,2,3,5,2,3,4,3.1428571429,5,4.6666666667,4.25,4.5833333333,3.3333333333,4.5555555556,11,38,0,1,0,0,0,1,0,0,0,0,1,0,0,0
39,1,1,0,0,0,1,0,0,0,0,2,1,1,3,Have not started working but plan to,2,2,1,1,Active resolution,5,5,5,2,Achieved and maintaining,7,4,1,1,1,5,2,2,1,2,3,2,54,1,1,1,5,2,4,1,2,2,47,2,3,4,3,4,1,3,2,4,4,3.1428571429,5,4.6666666667,4.25,4.5833333333,3.3333333333,4.5555555556,11,38,0,0,1,0,0,1,0,0,0,0,0,0,0,1
